# Santo del giorno e nomi che festeggiano l'onomastico, per tutti i 366
# giorni. Formato: MM-GG;santo;nomi separati da virgola.
#
# Compilato dalle pagine giorno per giorno di Cathopedia (it.cathopedia.org,
# CC BY-SA) per il santo, e dagli elenchi degli onomastici per i nomi. E' un
# calendario, non cambia: sta qui dentro perche' il servizio funzioni anche
# senza rete.
#
# giorno;santo;nomi
12-17;Sant'Olimpia;Olimpia,Lazzaro
12-18;San Graziano di Tours;Graziano
12-19;San Dario;Dario
12-20;San Liberato;Liberato,Domenico
12-21;San Pietro Canisio;Pietro,Temistocle
12-22;San Demetrio di Ostia;Demetrio,Remo,Spartaco,Dimitri
12-23;San Giovanni da Kety;Giovanni,Dagoberto,Vittoria
12-24;Sant'Adele di Pfalzel;Adele,Irma,Adelia,Adelio
12-25;Natale del Signore;Natale,Nerea,Eugenia
12-26;Santo Stefano protomartire;Stefano
12-27;San Giovanni apostolo ed evangelista;Giovanni,Delfina,Fabiola
12-28;Santi Innocenti;Innocente,Iolanda
12-29;San Tommaso Becket;Tommaso,Davide
12-30;San Raniero;Raniero,Eugenio
12-31;San Silvestro I;Silvestro,Fiore,Ilaria,Melania,Sesto,Donata
