# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
ASN/KASN,Talladega,Talladega Municipal Airport
ASO/HASO,Asosa,Asosa Airport
ASP/YBAS,Alice Springs,Alice Springs Airport
ASQ,Austin,Austin Airport
ASR/LTAU,Kayseri,Kayseri Erkilet International Airport
ASS/FAAR,Arathusa,Arathusa Safari Lodge Airport
AST/KAST,Astoria,Astoria Regional Airport
ASU/SGAS,Asunción,Asunción Silvio Pettirossi International Airport
ASV/HKAM,Ol Tukai,Ol Tukai Amboseli Airport
ASW/HESN,Aswan,Aswan International Airport
ASX/KASX,Ashland,Ashland John F Kennedy Memorial Airport
ASY/KASY,Ashley,Ashley Municipal Airport
ASZ,Asirim,Asirim Airport
ATA/SPHZ,Anta,Anta Comandante FAP German Arias Graziani Airport
ATB/HSAT,Atbara,Atbara Airport
ATC/MYCA,Arthur's Town,Arthur's Town Airport
ATD/AGAT,Atoifi,Atoifi Uru Harbour Airport
ATE,Antlers,Antlers Municipal Airport
ATF/SEAM,Ambato,Ambato Chachoán Regional Airport
ATG/OPMS,Kamra,Kamra Minhas Air Base
ATH/LGAV,Spata-Artemida,Spata-Artemida Athens Eleftherios Venizelos International Airport
ATI/SUAG,Artigas,Artigas International Airport
ATJ/FMME,Antsirabe,Antsirabe Airport
ATK/PATQ,Atqasuk,Atqasuk Edward Burnell Sr Memorial Airport
ATL/KATL,Atlanta,Hartsfield Jackson Atlanta International Airport
ATM/SBHT,Altamira,Altamira Interstate Airport
ATN/AYNX,Namatanai,Namatanai Airport
ATO/KUNI,Albany,Albany Ohio University Airport
ATP/AYAI,Aitape,Aitape Airport
ATQ/VIAR,Amritsar,Amritsar Sri Guru Ram Das Ji International Airport
ATR/GQPA,Atar,Atar International Airport
ATS/KATS,Artesia,Artesia Municipal Airport
ATT,Atmautluak,Atmautluak Airport
ATU/PAAT,Attu,Attu Casco Cove Coast Guard Station
ATUA,Utai,(Duplicate) Utai Airstrip
ATV/FTTI,Ati,Ati Airport
ATW/KATW,Appleton,Appleton International Airport
ATX,Atbasar,Atbasar Airport
ATY/KATY,Watertown,Watertown Regional Airport
ATZ/HEAT,Asyut,Asyut International Airport
AUA/TNCA,Oranjestad,Oranjestad Queen Beatrix International Airport
AUC/SKUC,Arauca,Arauca Santiago Perez Airport
AUD/YAGD,Augustus Downs,Augustus Downs Airport
AUE,Ras Abu Rudeis,Abu Rudeis Airport
AUF/LFLA,Auxerre,Auxerre Branches airport
AUG/KAUG,Augusta,Augusta State Airport
AUH/OMAA,Abu Dhabi,Abu Dhabi Zayed International Airport
AUI/AYND,Aua Island,Aua Island Airport
AUJ/AYAT,Ambunti,Ambunti Airport
AUK/PAUK,Alakanuk,Alakanuk Airport
AUL,Aur Atoll,Aur Island Airport
AUM/KAUM,Austin,Austin Municipal Airport
AUN/KAUN,Auburn,Auburn Municipal Airport
AUO/KAUO,Auburn,Auburn University Regional Airport
AUP/AYAG,Agaun,Agaun Airport
AUQ/NTMN,Hiva Oa Island,Hiva Oa-Atuona Airport
AUR/LFLW,Aurillac,Aurillac airport
AUS/KAUS,Austin,Austin Bergstrom International Airport
AUT/WPAT,Vila,Vila Atauro Airport
AUU/YAUR,Aurukun,Aurukun Airport
AUV/AYUM,Aumo,Aumo Airport
AUW/KAUW,Wausau,Wausau Downtown Airport
AUX/SWGN,Araguaína,Araguaína Airport
AUY/NVVA,Anatom Island,Anatom Island Aneityum Airport
AUZ/KARR,Chicago/Aurora,Aurora Municipal Airport
AVA/ZUAS,Anshun (Xixiu),Anshun Huangguoshu Airport
AVB/LIPA,Aviano (PN),Aviano Air Base
AVG/YAUV,Auvergne Station,Auvergne Airport
AVI/MUCA,Ciro Redondo,Ciro Redondo Máximo Gómez Airport
AVK/ZMAH,Arvaikheer,Arvaikheer Airport
AVL/KAVL,Asheville,Asheville Regional Airport
AVN/LFMV,Avignon,Avignon Caumont airport
AVO/KAVO,Avon Park,Avon Park Executive Airport
AVP/KAVP,Wilkes-Barre/Scrant,Wilkes-Barre/Scranton International Airport
AVR/VAAM,Amravati,Amravati Airport
AVU/AGGJ,Avu Avu,Avu Avu Airport
AVV/YMAV,Geelong/Melbourne,Melbourne Avalon International Airport
AVW/KAVQ,Marana,Marana Regional Airport
AVX/KAVX,Avalon,Avalon Catalina Airport
AWA/HALA,Hawassa,Hawassa International Airport
AWB/AYAW,Awaba,Awaba Airport
AWD/NVVB,Aniwa,Aniwa Airport
AWE/FOGW,Wonga Wongué,Wonga Wongué Presidential Reserve Alowe Airport
AWK/PWAK,Wake Island,Wake Island Airfield
AWM/KAWM,West Memphis,West Memphis Municipal Airport
AWN/YADS,Alton Downs,Alton Downs Airport
AWP/YAUS,Austral Downs,Austral Downs Airport
AWR,Awar,Awar Airport (unusable)
AWZ/OIAW,Ahvaz,Ahvaz Qasem Soleimani International Airport
AXA/TQPF,The Valley,The Valley Clayton J. Lloyd International Airport
AXB,Alexandria Bay,Alexandria Bay Maxson Airfield
AXC/YAMC,Aramac,Aramac Airport
AXD/LGAL,Alexandroupolis,Alexandroupolis Alexandroupoli Democritus Airport
